,Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance,team_std,situation,from_date,to_date,fetch_date
29,Alex Nedeljkovic,S.J,25,146.95,26,24,2,0.923,0.82,0.22,2.14,6,5,1,0.833,0.41,0.21,9,8,1,0.889,0.41,0.25,7,7,0,1.000,0.00,0.18,4,2,46.31,18.00,SJS,pp,2025-10-07,2025-11-20,2026-02-16
30,Vitek Vanecek,UTA,14,72.166666666667,7,7,0,1.000,0.00,0.60,1.35,4,4,0,1.000,0.00,0.81,1,1,0,1.000,0.00,0.14,1,1,0,1.000,0.00,0.03,3,2,41.43,-,UTA,pp,2025-10-07,2025-11-20,2026-02-16
31,Jonas Johansson,T.B,19,87.716666666667,11,10,1,0.909,0.68,-0.06,0.87,2,2,0,1.000,0.00,0.40,4,3,1,0.750,0.68,-0.45,2,2,0,1.000,0.00,0.05,3,0,60.73,22.00,TBL,pp,2025-10-07,2025-11-20,2026-02-16
32,Elvis Merzlikins,CBJ,21,75.183333333333,12,12,0,1.000,0.00,1.03,0.63,2,2,0,1.000,0.00,0.40,0,0,0,-,0.00,0.00,4,4,0,1.000,0.00,0.10,1,0,82.42,-,CBJ,pp,2025-10-07,2025-11-20,2026-02-16
33,Ilya Sorokin,NYI,35,172.8,24,22,2,0.917,0.69,0.05,2.57,6,5,1,0.833,0.35,0.21,7,6,1,0.857,0.35,-0.03,6,6,0,1.000,0.00,0.16,3,2,44.79,19.50,NYI,pp,2025-10-07,2025-11-20,2026-02-16
34,Ville Husso,ANA,12,56.9,9,9,0,1.000,0.00,0.77,0.52,0,0,0,-,0.00,0.00,4,4,0,1.000,0.00,0.55,2,2,0,1.000,0.00,0.05,2,0,71.67,-,ANA,pp,2025-10-07,2025-11-20,2026-02-16
35,Igor Shesterkin,NYR,34,137.66666666667,26,21,5,0.808,2.18,-2.78,3.35,11,7,4,0.636,1.74,-1.79,6,5,1,0.833,0.44,-0.17,4,4,0,1.000,0.00,0.10,2,4,48.00,8.80,NYR,pp,2025-10-07,2025-11-20,2026-02-16
36,Mackenzie Blackwood,COL,22,99.983333333333,16,13,3,0.813,1.80,-1.63,1.34,1,1,0,1.000,0.00,0.20,7,4,3,0.571,1.80,-2.03,3,3,0,1.000,0.00,0.08,3,1,64.63,30.33,COL,pp,2025-10-07,2025-11-20,2026-02-16
37,Dan Vladar,PHI,33,152.45,26,23,3,0.885,1.18,-0.78,2.49,6,5,1,0.833,0.39,0.21,9,8,1,0.889,0.39,0.25,2,1,1,0.500,0.39,-0.95,5,4,73.38,21.67,PHI,pp,2025-10-07,2025-11-20,2026-02-16
38,Sam Montembeault,MTL,23,124.06666666667,10,9,1,0.900,0.48,-0.14,0.84,3,2,1,0.667,0.48,-0.40,1,1,0,1.000,0.00,0.14,2,2,0,1.000,0.00,0.05,3,0,82.10,4.00,MTL,pp,2025-10-07,2025-11-20,2026-02-16
39,Adin Hill,VGK,12,41.6,8,6,2,0.750,2.88,-1.32,0.56,2,1,1,0.500,1.44,-0.60,1,0,1,0.000,1.44,-0.86,1,1,0,1.000,0.00,0.03,2,0,89.75,19.50,VGK,pp,2025-10-07,2025-11-20,2026-02-16
40,Karel Vejmelka,UTA,44,202.7,23,23,0,1.000,0.00,1.97,2.68,4,4,0,1.000,0.00,0.81,5,5,0,1.000,0.00,0.69,3,3,0,1.000,0.00,0.08,7,3,87.70,-,UTA,pp,2025-10-07,2025-11-20,2026-02-16
41,Joey Daccord,SEA,33,158.41666666667,21,16,5,0.762,1.89,-3.20,2.44,5,1,4,0.200,1.51,-2.99,4,3,1,0.750,0.38,-0.45,5,5,0,1.000,0.00,0.13,8,4,63.38,12.80,SEA,pp,2025-10-07,2025-11-20,2026-02-16
42,Connor Ingram,EDM,13,52.5,9,9,0,1.000,0.00,0.77,0.74,0,0,0,-,0.00,0.00,3,3,0,1.000,0.00,0.42,1,1,0,1.000,0.00,0.03,3,0,99.89,-,EDM,pp,2025-10-07,2025-11-20,2026-02-16
43,Casey DeSmith,DAL,21,102.08333333333,21,21,0,1.000,0.00,1.80,1.63,6,6,0,1.000,0.00,1.21,6,6,0,1.000,0.00,0.83,3,3,0,1.000,0.00,0.08,4,0,61.05,-,DAL,pp,2025-10-07,2025-11-20,2026-02-16
44,Charlie Lindgren,WSH,19,86.05,14,13,1,0.929,0.70,0.20,1.16,3,3,0,1.000,0.00,0.60,5,4,1,0.800,0.70,-0.31,2,2,0,1.000,0.00,0.05,2,0,61.57,25.00,WSH,pp,2025-10-07,2025-11-20,2026-02-16
45,Alex Lyon,BUF,27,118.95,18,18,0,1.000,0.00,1.54,1.41,2,2,0,1.000,0.00,0.40,3,3,0,1.000,0.00,0.42,1,1,0,1.000,0.00,0.03,9,0,112.17,-,BUF,pp,2025-10-07,2025-11-20,2026-02-16
46,Joseph Woll,TOR,25,75.766666666667,14,12,2,0.857,1.58,-0.80,1.1,1,1,0,1.000,0.00,0.20,4,2,2,0.500,1.58,-1.45,5,5,0,1.000,0.00,0.13,3,0,63.29,21.50,TOR,pp,2025-10-07,2025-11-20,2026-02-16
