name,team,position,salary,projected_fpts,dk_avg_fpts,edge,value,floor,ceiling,player_type
Vasily Podkolzin,EDM,W,3700,7.364389976045572,6.06,1.3043899760455728,1.990375669201506,1.841097494011393,23.41097494011393,skater
Sean Couturier,PHI,C,3300,7.352761305603479,6.44,0.9127613056034782,2.2281094865465088,1.8381903264008697,23.381903264008695,skater
Anthony Duclair,NYI,W,4000,7.264714386798,6.42,0.8447143867980005,1.8161785966995,1.8161785966995,23.161785966995,skater
Pavel Mintyukov,ANA,D,3100,7.159294140588379,6.1,1.0592941405883796,2.3094497227704447,1.7898235351470948,22.898235351470948,skater
Alex Killorn,ANA,W,3400,6.969683586400203,5.42,1.549683586400203,2.04990693717653,1.7424208966000507,22.424208966000506,skater
Mason Lohrei,BOS,D,2600,6.955386578708119,6.36,0.5953865787081183,2.6751486841185073,1.7388466446770297,22.388466446770295,skater
Lawson Crouse,UTA,W,3900,6.927356527027606,7.14,-0.2126434729723936,1.7762452633404118,1.7318391317569015,22.318391317569017,skater
Michael Eyssimont,BOS,C,2500,6.907840144974652,5.82,1.0878401449746518,2.7631360579898607,1.726960036243663,22.26960036243663,skater
Carl Grundstrom,PHI,W,2800,6.843245652883286,5.84,1.0032456528832858,2.4440163046011736,1.7108114132208214,22.108114132208215,skater
Radko Gudas,ANA,D,2700,6.82464078441619,6.35,0.4746407844161906,2.527644734968959,1.7061601961040476,22.061601961040477,skater
Casey Mittelstadt,BOS,C,2600,6.778859708565059,5.94,0.8388597085650584,2.6072537340634843,1.6947149271412647,21.94714927141265,skater
Adam Pelech,NYI,D,3200,6.719941721462536,6.46,0.25994172146253636,2.0999817879570424,1.679985430365634,21.79985430365634,skater
Pontus Holmberg,TBL,W,2800,6.717136360779238,5.11,1.6071363607792373,2.3989772717068707,1.6792840901948094,21.792840901948093,skater
Fraser Minten,BOS,C,2900,6.691686661444044,6.31,0.3816866614440446,2.307478159118636,1.672921665361011,21.72921665361011,skater
Braden Schneider,NYR,D,3300,6.589615245966261,5.8,0.7896152459662611,1.996853104838261,1.6474038114915652,21.47403811491565,skater
