name,team,position,salary,projected_fpts,dk_avg_fpts,edge,value,floor,ceiling,predicted_ownership,ownership_tier,leverage_score,dk_id
Trevor Moore,LAK,W,3600,6.964606337418423,6.32,0.6446063374184225,1.9346128715051174,1.7411515843546057,22.411515843546056,0.5324516895711162,Contrarian (<5%),4.544747729938287,41767017
Anthony Duclair,NYI,W,3900,6.950750011945901,6.44,0.510750011945901,1.7822435928066414,1.7376875029864753,22.376875029864753,0.7986775343566744,Contrarian (<5%),3.8643669469257853,41766983
Drew O'Connor,VAN,W,3400,6.946837893363035,5.41,1.5368378933630344,2.04318761569501,1.7367094733407586,22.367094733407587,0.17748389652370541,Contrarian (<5%),5.899730700243321,41767033
Artyom Levshunov,CHI,D,3300,6.944968039041429,5.65,1.2949680390414287,2.104535769406494,1.7362420097603573,22.36242009760357,1.039533191160897,Contrarian (<5%),3.4051752965532134,41767643
Connor Dewar,PIT,C,2500,6.9287910359868805,5.65,1.2787910359868802,2.7715164143947524,1.7321977589967201,22.3219775899672,0.2662258447855581,Contrarian (<5%),5.47200253771499,41767411
Jean-Gabriel Pageau,NYI,C,3500,6.8791269159584845,6.65,0.2291269159584841,1.9654648331309956,1.7197817289896211,22.19781728989621,2.0472117184681444,Contrarian (<5%),2.257515247223016,41766565
Easton Cowan,TOR,W,2700,6.864270759816075,5.64,1.2242707598160756,2.5423225036355834,1.7160676899540188,22.16067689954019,0.3061597215033918,Contrarian (<5%),5.255307330955888,41767159
Brady Skjei,NSH,D,3200,6.843165727492596,5.36,1.4831657274925956,2.138489289841436,1.710791431873149,22.10791431873149,0.693022127440598,Contrarian (<5%),4.041982450541065,41767669
Dmitry Orlov,SJS,D,3300,6.835145675539002,5.3,1.5351456755390025,2.071256265314849,1.7087864188847506,22.087864188847504,0.7969754465566875,Contrarian (<5%),3.8036945294028985,41767653
Pavel Mintyukov,ANA,D,3400,6.834010885650713,6.06,0.7740108856507133,2.0100032016619744,1.7085027214126782,22.085027214126782,0.7969754465566875,Contrarian (<5%),3.803063029462004,41767633
