game_date,player_id,player_name,position,actual_fpts,predicted_fpts,std_fpts
2025-11-08,8473419,B. Marchand,L,14.5,14.289532,10.51751
2025-11-08,8473507,J. Petry,D,1.5,4.8357515,4.1353045
2025-11-08,8473512,C. Giroux,R,6.3,6.702434,5.5739083
2025-11-08,8473533,J. Staal,C,9.0,3.462129,3.3554804
2025-11-08,8473986,A. Killorn,L,8.4,6.423314,5.27095
2025-11-08,8474013,I. Cole,D,12.1,8.095063,5.3465967
2025-11-08,8474102,D. Perron,L,8.3,3.1132205,3.0390332
2025-11-08,8474151,R. McDonagh,D,1.3,6.3628755,4.508065
2025-11-08,8474189,L. Eller,C,0.8,5.884051,5.5495577
2025-11-08,8474564,S. Stamkos,C,10.8,6.1196604,5.5813427
2025-11-08,8474574,T. Myers,D,8.3,9.088048,5.6098437
2025-11-08,8474578,E. Karlsson,D,5.8,7.713548,4.502617
2025-11-08,8474586,J. Eberle,R,16.0,4.6043935,3.2019627
2025-11-08,8474590,J. Carlson,D,14.0,13.128486,8.74595
2025-11-08,8474641,A. Henrique,C,2.1,3.533009,2.8724024
2025-11-08,8475151,K. Palmieri,C,10.0,8.488061,5.2454453
2025-11-08,8475158,R. O'Reilly,C,12.0,8.016279,5.6356525
2025-11-08,8475166,J. Tavares,C,14.0,12.657477,8.773374
2025-11-08,8475167,V. Hedman,D,5.0,11.791742,6.7992496
2025-11-08,8475169,E. Kane,L,6.5,14.385285,10.643537
2025-11-08,8475170,B. Schenn,C,4.6,2.9324677,2.554074
2025-11-08,8475171,O. Ekman-Larsson,D,6.5,6.5564356,4.785043
2025-11-08,8475184,C. Kreider,L,2.0,12.999918,9.603869
2025-11-08,8475188,B. McNabb,D,3.1,8.956168,5.127832
2025-11-08,8475191,R. Smith,R,1.5,0.9703308,1.2164185
2025-11-08,8475200,D. Orlov,D,6.8,6.284409,4.0092583
2025-11-08,8475218,M. Ekholm,D,5.8,5.6565557,3.8555186
2025-11-08,8475231,C. Cizikas,C,0.0,2.065274,2.1948535
2025-11-08,8475287,E. Haula,L,5.0,5.3056755,4.945475
2025-11-08,8475314,A. Lee,L,11.8,12.715558,8.292285
2025-11-08,8475324,N. Jensen,D,0.0,2.37717,2.015512
2025-11-08,8475343,N. Dowd,C,5.5,2.0877547,2.3162231
2025-11-08,8475455,B. Dillon,D,9.5,6.958272,4.7478304
2025-11-08,8475726,T. Toffoli,C,3.5,7.428248,5.437902
2025-11-08,8475745,C. Coyle,C,1.3,12.750353,9.838335
2025-11-08,8475753,J. Faulk,D,9.2,15.589278,10.405799
2025-11-08,8475754,B. Nelson,C,3.3,3.8942513,3.7139254
2025-11-08,8475755,A. Petrovic,D,7.5,4.8922477,4.3312173
2025-11-08,8475760,N. Bjugstad,C,1.0,10.282036,8.056734
2025-11-08,8475763,K. Hayes,R,0.0,0.08787701,0.56423557
2025-11-08,8475764,C. Fowler,D,7.3,4.4033356,3.2491548
2025-11-08,8475768,J. Schwartz,L,4.8,4.004623,2.5266056
2025-11-08,8475784,J. Skinner,L,4.5,5.665483,5.5408697
2025-11-08,8475791,T. Hall,L,11.8,5.056635,4.295535
