playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8477968,2025,Alex Nedeljkovic,SJS,G,5on5,25,67648,48.13,48,1121,39.81,60,147.72,131,581.8,532,16.7,0,316.02,293,227.36,267,45.95,605,151,43,17.72,18.53,11.88,23,19,6,322,9,3
8477968,2025,Alex Nedeljkovic,SJS,G,4on5,25,6461,12.93,14,175,8.63,8,21.37,22,98.22,91,0.24,0,57.79,51,29.85,39,12.25,96,23,15,2.78,3,7.16,1,3,10,41,0,0
8477968,2025,Alex Nedeljkovic,SJS,G,5on4,25,8523,2.17,2,32,1.09,2,3.6,1,21.72,26,4.24,0,6.24,4,14.26,19,2.16,18,8,2,0.59,1.04,0.54,1,1,0,4,0,0
8478007,2025,Elvis Merzlikins,CBJ,G,other,21,1909,3.67,3,60,2.79,4,6.84,7,33.38,30,0.88,1,21.82,16,10.64,17,3.21,32,13,2,1.21,1.52,0.93,3,0,0,13,0,0
8478007,2025,Elvis Merzlikins,CBJ,G,all,21,71265,64.71,69,1238,48.27,85,162.72,120,677.48,617,20.01,1,370.83,318,257.91,333,60.62,692,172,63,23.4,21.07,20.25,36,19,14,311,0,0
8478007,2025,Elvis Merzlikins,CBJ,G,5on5,21,59294,44.5,48,961,34.35,64,130.76,93,517.51,469,16.31,0,277.06,245,203.08,256,42.55,547,116,44,17.8,14.42,12.29,27,13,8,254,0,0
8478007,2025,Elvis Merzlikins,CBJ,G,4on5,21,5599,15.41,17,193,10.45,17,23.22,18,111.67,103,0.45,0,66.62,55,33.68,45,13.74,97,40,16,3.99,4.64,6.79,6,5,6,40,0,0
8478007,2025,Elvis Merzlikins,CBJ,G,5on4,21,4463,0.68,0,15,0.4,0,1.2,1,10.47,11,2.16,0,3.34,2,8.09,11,0.67,12,1,1,0.26,0.18,0.24,0,0,0,1,0,0
8477967,2025,Thatcher Demko,VAN,G,other,20,2098,3.92,4,65,2.72,3,6.76,8,34.42,28,0.7,0,20.54,15,10.71,16,3.77,27,13,6,1.04,1.52,1.36,1,1,2,19,0,0
8477967,2025,Thatcher Demko,VAN,G,all,20,66952,56.02,54,1093,43,64,141.99,103,595.52,515,19.22,0,322.4,306,222.36,279,53.55,579,170,57,18.11,20.68,17.22,18,22,14,287,0,0
8477967,2025,Thatcher Demko,VAN,G,5on5,20,53987,38.05,37,863,30.91,43,114.48,81,459.13,403,14.97,0,249.51,250,179.72,217,36.7,474,120,34,14.5,14.32,9.24,14,16,7,235,0,0
8477967,2025,Thatcher Demko,VAN,G,4on5,20,5217,12.57,11,146,8.73,16,18.91,14,90.09,71,0.42,0,48.98,37,24.64,39,11.71,70,31,16,2.32,3.93,6.32,2,4,5,29,0,0
8477967,2025,Thatcher Demko,VAN,G,5on4,20,5650,1.38,2,18,0.58,2,1.74,0,11.09,13,3.1,0,3.04,4,6.89,6,1.28,8,5,1,0.25,0.82,0.31,1,1,0,4,0,0
8476999,2025,Linus Ullmark,OTT,G,other,30,3027,5.5,6,75,2.92,2,8.07,12,41.69,39,0.97,0,21.68,26,15.46,9,4.84,31,17,7,1.22,2.02,2.26,2,2,2,20,0,0
8476999,2025,Linus Ullmark,OTT,G,all,30,107151,67.48,85,1510,53.61,66,185.39,172,779.12,730,29.14,4,424.43,399,309.13,343,64.84,804,206,56,23.49,25.48,18.52,27,41,17,444,2,1
8476999,2025,Linus Ullmark,OTT,G,5on5,30,86491,46.2,56,1201,38.89,54,151.86,135,603.25,561,23.26,2,329.16,313,244.55,272,44.62,661,137,33,19.38,16.94,9.88,22,27,7,370,2,1
8476999,2025,Linus Ullmark,OTT,G,4on5,30,8077,12.57,21,188,10.05,9,21.26,22,107.55,101,0.55,0,63.43,50,33.36,42,12.24,90,41,13,2.11,4.94,5.52,3,11,7,44,0,0
8476999,2025,Linus Ullmark,OTT,G,5on4,30,9556,1.43,0,26,0.9,0,1.95,0,14.54,16,4.18,2,4.91,4,10.34,16,1.42,13,7,0,0.43,1,0,0,0,0,6,0,0
8480280,2025,Jeremy Swayman,BOS,G,other,38,4802,17.37,11,189,8.88,15,21.48,19,109.3,100,1.56,0,64.61,64,28.67,36,14.85,68,59,18,2.97,7.43,6.97,3,3,5,44,0,0
8480280,2025,Jeremy Swayman,BOS,G,all,38,134558,125.2,109,2357,89.68,150,308.16,275,1258.87,1119,38.68,1,675.02,618,464.35,551,116.97,1212,362,132,36.65,45.78,42.77,41,37,31,651,11,4
8480280,2025,Jeremy Swayman,BOS,G,5on5,38,106751,76.91,59,1773,60.33,107,237.33,213,908.16,795,30.21,0,481.76,448,351.85,410,73.33,921,248,71,26.95,31.48,18.48,28,25,6,533,2,1
8480280,2025,Jeremy Swayman,BOS,G,4on5,38,13280,27.54,33,347,18.59,25,43.94,41,207.96,187,0.98,0,117.03,96,62.28,81,25.49,192,46,38,5.66,5.86,16.02,10,7,16,71,9,3
8480280,2025,Jeremy Swayman,BOS,G,5on4,38,9725,2.51,5,40,1.43,2,4.41,2,28.02,31,5.69,1,9.22,10,19.44,19,2.46,28,6,4,0.88,0.64,0.99,0,2,3,2,0,0
8475683,2025,Sergei Bobrovsky,FLA,G,other,40,3901,8.96,7,111,4.93,4,13.55,13,66.08,60,1.38,0,36.24,34,22.85,31,8.22,51,28,10,1.88,3.4,3.68,2,3,2,22,0,0
8475683,2025,Sergei Bobrovsky,FLA,G,all,40,139071,106.75,121,1985,74.76,119,264.56,185,1088.92,939,42.42,3,570.97,484,419.68,562,100.75,1063,295,116,30.26,36.66,39.83,36,55,30,511,9,3
8475683,2025,Sergei Bobrovsky,FLA,G,5on5,40,108520,69.57,87,1528,53.47,91,210.31,149,826.84,709,31.68,3,432.55,369,328.09,423,66.73,838,217,67,23.77,27.42,18.38,31,43,13,406,9,3
8475683,2025,Sergei Bobrovsky,FLA,G,4on5,40,12944,25.99,24,303,14.95,24,36.56,21,168.86,137,1.38,0,92.8,74,48.79,82,23.6,144,44,37,3.64,5.04,17.32,2,7,15,78,0,0
8475683,2025,Sergei Bobrovsky,FLA,G,5on4,40,13706,2.22,3,43,1.41,0,4.13,2,27.14,33,7.99,0,9.38,7,19.95,26,2.21,30,6,2,0.97,0.8,0.46,1,2,0,5,0,0
8479496,2025,David Rittich,NYI,G,other,23,3070,5.21,5,75,2.98,2,8.73,7,43.33,36,1.33,0,23.68,22,16,21,4.69,33,19,6,1.32,2.33,1.55,2,3,0,17,0,0
8479496,2025,David Rittich,NYI,G,all,23,82811,66.87,59,1329,49.81,73,172.02,123,712,590,24.62,0,374.9,358,273.74,346,63.38,685,203,73,20.57,24.84,21.46,21,26,12,368,0,0
8479496,2025,David Rittich,NYI,G,5on5,23,68302,48.12,43,1065,36.29,57,138.48,103,546.4,454,19.73,0,286.91,273,214.69,266,46.04,547,145,51,16.82,17.64,13.66,19,19,5,322,0,0
8479496,2025,David Rittich,NYI,G,4on5,23,5500,11.37,8,161,9.5,11,21.47,13,100.7,84,0.55,0,57.95,56,29.55,45,10.52,91,27,15,2.11,3.24,6.03,0,2,6,28,0,0
8479496,2025,David Rittich,NYI,G,5on4,23,5939,2.08,3,26,0.95,3,3.08,0,20.17,15,2.84,0,5.63,7,12.69,12,2.04,12,12,1,0.22,1.63,0.22,0,2,1,1,0,0
8475660,2025,Cam Talbot,DET,G,other,24,2032,5.72,7,65,2.81,5,8.21,5,37.93,35,0.83,0,19.01,15,12.48,17,5.39,23,20,7,0.96,2.41,2.35,1,3,3,15,0,0
8475660,2025,Cam Talbot,DET,G,all,24,80540,61.3,67,1340,47.42,55,164.57,148,690.06,618,24.41,1,371.22,337,275.25,335,59.09,698,181,64,20.86,21.34,19.1,24,22,21,397,0,0
8475660,2025,Cam Talbot,DET,G,5on5,24,66092,44.71,47,1070,36.23,46,135.09,128,547.72,491,18.65,1,295.42,272,220.57,257,43.41,579,124,47,17.18,14.77,12.76,19,15,13,320,0,0
8475660,2025,Cam Talbot,DET,G,4on5,24,5129,8.87,11,172,7.16,4,16.92,15,80,66,0.35,0,48.24,43,26.15,37,8.31,71,31,8,1.97,3.45,3.45,2,4,5,62,0,0
8475660,2025,Cam Talbot,DET,G,5on4,24,7287,1.74,1,27,1.01,0,3.46,0,20.22,22,4.41,0,6.53,5,13.57,21,1.72,20,5,2,0.59,0.61,0.54,1,0,0,0,0,0
8478024,2025,Ville Husso,ANA,G,other,12,520,2.91,2,33,1.49,0,3.98,2,22.24,18,0.58,0,11.39,14,8.54,11,2.88,17,9,3,0.69,1.03,1.2,0,1,1,4,0,0
8478024,2025,Ville Husso,ANA,G,all,12,39726,31.05,36,655,22.61,31,83.29,52,338.74,306,13.05,0,181.53,180,131.09,160,29.83,338,91,32,10.54,10.69,9.83,13,13,10,194,2,1
