player_id,player_name,position,team,opponent,game_date,expected_fpts,median_fpts,std_fpts,floor_fpts,ceiling_fpts,p_above_10,p_above_15,p_above_20,p_above_25,p_hat_trick,p_3plus_points,p_5plus_sog,p_3plus_blocks,exp_goals,exp_assists,exp_shots,exp_blocks,n_historical_games,actual_fpts,error
8479390,T. Raddysh,R,NYR,DET,2025-11-07,6.483779999999999,4.1,7.786307912714472,0.0,16.0,0.241,0.1076,0.059,0.033,0.015,0.0386,0.0746,0.0346,0.2944,0.1678,1.5686,0.3996,14,9.6,3.11622
8479576,V. Desharnais,D,SJS,WPG,2025-11-07,5.84912,4.3,6.702070667010309,0.0,12.7,0.1688,0.0642,0.0322,0.0196,0.0064,0.0232,0.0408,0.224,0.0856,0.201,1.1788,1.5344,10,1.8,4.04912
8479983,M. Ferraro,D,SJS,WPG,2025-11-07,6.51854,4.9,6.392561166574787,1.3,13.8,0.2,0.0744,0.0344,0.019,0.0052,0.023,0.046,0.2848,0.0804,0.2378,1.2208,1.8458,14,6.4,0.11853999999999942
8479992,M. Rasmussen,C,DET,NYR,2025-11-07,5.39186,3.0,7.150187951403796,0.0,12.8,0.1744,0.0732,0.0424,0.0244,0.0094,0.0356,0.0542,0.0584,0.1464,0.242,1.2566,0.6192,13,5.1,0.2918600000000007
8480014,G. Vilardi,C,WPG,SJS,2025-11-07,8.68558,6.0,8.986943977993855,0.0,19.510000000000037,0.3384,0.171,0.0966,0.055,0.0192,0.0724,0.111,0.033,0.2962,0.4552,1.9604,0.4096,13,15.6,6.91442
8480028,M. Frost,C,CGY,CHI,2025-11-07,6.821280000000001,4.5,7.940059140938434,0.0,16.1,0.2468,0.1112,0.0616,0.0362,0.0124,0.0454,0.0858,0.0516,0.1998,0.317,1.6682,0.5576,15,2.5,4.321280000000001
8480043,T. Liljegren,D,SJS,WPG,2025-11-07,6.33522,4.9,7.031566365440918,0.0,13.6,0.1972,0.0738,0.0376,0.0208,0.0086,0.0308,0.0398,0.2272,0.0908,0.2818,1.1232,1.6034,11,4.6,1.73522
8480113,A. Iafallo,L,WPG,SJS,2025-11-07,6.7606399999999995,4.5,7.532672221091265,0.0,15.0,0.2422,0.1022,0.0554,0.031,0.0134,0.0352,0.1114,0.0478,0.1912,0.2478,1.923,0.5438,13,0.0,6.7606399999999995
8480145,N. Pionk,D,WPG,SJS,2025-11-07,6.948259999999999,5.0,7.061228290630463,1.3,14.3,0.2206,0.0856,0.0436,0.0246,0.0078,0.0266,0.089,0.1996,0.095,0.2286,1.8034,1.4622,13,9.4,2.451740000000001
8480797,J. Farabee,L,CGY,CHI,2025-11-07,7.0314,5.0,7.184802714062509,0.0,15.6,0.2562,0.1054,0.0512,0.0274,0.0076,0.0336,0.1016,0.059,0.1692,0.3158,1.906,0.67,15,2.3,4.7314
8480798,P. Kurashev,C,SJS,WPG,2025-11-07,8.228639999999999,5.0,9.310583212151641,0.0,19.3,0.3154,0.1596,0.0906,0.0546,0.0242,0.0654,0.1102,0.0394,0.3252,0.3098,1.9268,0.4668,12,11.5,3.2713600000000014
8480848,T. Dellandrea,C,SJS,WPG,2025-11-07,5.89624,3.0,7.873658988196022,0.0,13.5,0.1908,0.0846,0.0476,0.0292,0.0128,0.0414,0.0632,0.0508,0.1448,0.3326,1.3078,0.5878,14,4.5,1.3962399999999997
8481014,A. Romanov,D,NYI,MIN,2025-11-07,6.10514,4.5,6.357626568177782,0.0,12.8,0.1772,0.066,0.0322,0.0192,0.005,0.0204,0.042,0.2944,0.0788,0.1624,1.152,1.9098,8,-0.2,6.30514
8481043,C. Koepke,L,WPG,SJS,2025-11-07,5.07852,3.0,7.154895569440549,0.0,11.5,0.1602,0.0626,0.032,0.0196,0.0112,0.0292,0.0714,0.0296,0.13,0.2148,1.4578,0.3774,13,1.0,4.07852
8481068,Y. Sharangovich,C,CGY,CHI,2025-11-07,6.207739999999999,3.0,7.792507304609987,0.0,14.5,0.2178,0.0966,0.0534,0.0304,0.0156,0.0416,0.079,0.0422,0.2042,0.2402,1.5792,0.4688,13,1.0,5.207739999999999
8481167,B. Pachal,D,CGY,CHI,2025-11-07,5.0919,2.8,6.789495739007426,0.0,11.5,0.1432,0.059,0.0306,0.0178,0.008,0.0272,0.038,0.1334,0.0982,0.2074,1.0244,1.082,8,1.3,3.7919
8481237,K. MacLean,C,NYI,MIN,2025-11-07,4.57618,2.6,6.825216378079159,0.0,11.3,0.1312,0.0594,0.0342,0.0218,0.0104,0.029,0.056,0.0354,0.107,0.218,1.2378,0.3926,9,-0.5,5.07618
8481525,M. Robertson,D,NYR,DET,2025-11-07,5.231319999999999,3.0,6.034123221943681,0.0,11.5,0.1462,0.0518,0.0284,0.0148,0.0058,0.0206,0.0388,0.1566,0.0992,0.1656,1.1136,1.2424,8,2.6,2.631319999999999
8481542,M. Seider,D,DET,NYR,2025-11-07,6.82884,5.6,6.246747013798462,1.3,14.5,0.2278,0.0848,0.038,0.0186,0.0044,0.0274,0.0748,0.2016,0.0668,0.298,1.6668,1.4608,14,4.5,2.3288399999999996
8481557,M. Boldy,L,MIN,NYI,2025-11-07,10.09198,8.0,9.269664593694854,1.5,21.5,0.4138,0.2152,0.1196,0.0716,0.0228,0.0708,0.1732,0.042,0.3638,0.3964,2.5702,0.5126,15,2.5,7.5919799999999995
