Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
71,5054791640,jah_586,0,101.100006,C Nathan MacKinnon C Mathew Barzal D Cale Makar D Travis Sanheim G David Rittich UTIL Ridly Greig W Anthony Duclair W Jonathan Drouin W Simon Holmstrom,,Artem Zub,D,3.03%,12.8
72,5054909447,Melted,0,100.8,C Bo Horvat C Dylan Cozens D Brent Burns D Cam York G David Rittich UTIL Trevor Zegras W Travis Konecny W Drake Batherson W Anders Lee,,Denton Mateychuk,D,2.86%,3
73,5054737465,KLeh22,0,100.6,C Nathan MacKinnon C Christian Dvorak D Travis Sanheim D Nick Seeler G Dan Vladar UTIL Travis Konecny W Martin Necas W J.T. Miller W Simon Holmstrom,,Shane Pinto,UTIL,2.86%,1.3
73,5054997438,CosaSpeciale,0,100.6,C Nathan MacKinnon C Christian Dvorak D Cam York D Damon Severson G MacKenzie Blackwood UTIL Travis Konecny W Trevor Zegras W Owen Tippett W Matvei Michkov,,Gabe Perreault,W,2.69%,2.8
75,5055058924,Varncass,0,100.49999,C Tim Stuetzle C Dylan Cozens D Jake Sanderson D Thomas Chabot G James Reimer UTIL Drake Batherson W Brady Tkachuk W Matvei Michkov W Simon Holmstrom,,Matthew Robertson,D,2.36%,4.1
76,5054783623,jayturn21,0,100.3,C Brock Nelson C Christian Dvorak D Matthew Schaefer D Brent Burns G David Rittich UTIL J.T. Miller W Travis Konecny W Owen Tippett W Matvei Michkov,,Damon Severson,D,2.36%,9.3
77,5054962563,beenjammin98,0,100.100006,C Christian Dvorak C Noah Cates D Zach Werenski D Brent Burns G David Rittich UTIL Valeri Nichushkin W Travis Konecny W Artturi Lehkonen W Trevor Zegras,,Cole Sillinger,UTIL,2.02%,11.5
78,5054609769,Ish99,0,99.9,C Mathew Barzal C Dylan Cozens D Thomas Chabot D Adam Boqvist G David Rittich UTIL Brady Tkachuk W Travis Konecny W Artturi Lehkonen W Anthony Duclair,,Samuel Girard,D,2.02%,0
79,5055005307,bradderf,0,99.7,C Nathan MacKinnon C Mathew Barzal D Zach Werenski D Artem Zub G David Rittich UTIL Erik Gudbranson W Boone Jenner W Victor Olofsson W Ondrej Palat,,Jack Drury,UTIL,1.68%,6.5
80,5054887807,DraftKingsEAD,0,99.49999,C Vincent Trocheck C Dylan Cozens D Jake Sanderson D Thomas Chabot G James Reimer UTIL Drake Batherson W Brady Tkachuk W Travis Konecny W Ridly Greig,,Scott Morrow,UTIL,1.68%,0
