Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
76,5055899928,martini13,0,111.299995,C Ryan Hartman C Jordan Staal D Quinn Hughes D Shayne Gostisbehere G Alex Lyon UTIL Cole Caufield W Seth Jarvis W Alexandre Texier W Jordan Martinook,,Vince Dunn,D,3.37%,1.5
77,5055863147,mbosse1970,0,110.8,C Bo Horvat C Pavel Zacha D Darren Raddysh D Mattias Samuelsson G Arturs Silovs UTIL Ondrej Palat W Will Smith W Jared McCann W Morgan Geekie,,Andrei Vasilevskiy,G,3.37%,17.9
78,5055777484,gioacchini6,0,110.5,C Connor McDavid C Leon Draisaitl D Bowen Byram D Mason Lohrei G Ilya Sorokin UTIL Fraser Minten W Patrick Kane W Jason Zucker W Marco Kasper,,Marco Kasper,UTIL,3.37%,3
79,5055839076,sportsfan23,0,110.399994,C Pavel Zacha C Noah Ostlund D Darren Raddysh D Uvis Balinskis G Brandon Bussi UTIL Leon Draisaitl W Ryan Nugent-Hopkins W Josh Doan W Viktor Arvidsson,,Karel Vejmelka,G,3.20%,2.1
80,5055786866,castironcanuck,0,110.299995,C Connor McDavid C Fraser Minten D Parker Wotherspoon D Keaton Middleton G Karel Vejmelka UTIL Jake Evans W David Pastrnak W Nikita Kucherov W Anthony Mantha,,Mathew Barzal,C,3.20%,1.5
81,5055693525,DAX_DA_PLUMBER,0,110.2,C Connor McDavid C Leon Draisaitl D Evan Bouchard D Kris Letang G Ilya Sorokin UTIL Alex Iafallo W Lenni Hameenaho W Nino Niederreiter W Vladislav Namestnikov,,Brandon Hagel,W,3.20%,2.8
82,5055657184,chefmatt4you,0,110.100006,C Nico Hischier C Matty Beniers D Darren Raddysh D Brock Faber G Filip Gustavsson UTIL Anthony Cirelli W Tyler Toffoli W Jordan Eberle W Luke Evangelista,,Shayne Gostisbehere,D,3.20%,29.5
82,5055894124,Bonfire_Villa8,0,110.1,C Connor McDavid C Wyatt Johnston D Evan Bouchard D Thomas Harley G Karel Vejmelka UTIL Peyton Krebs W Chris Kreider W Linus Karlsson W Kasperi Kapanen,,Jack Hughes,C,3.20%,0
84,5055872667,YoYoMas,0,110,C Connor McDavid C Matty Beniers D Mattias Samuelsson D J.J. Moser G Joey Daccord UTIL Jordan Eberle W Zach Hyman W Jared McCann W Lenni Hameenaho,,Martin Necas,W,3.03%,4.5
85,5055748696,brown_007,0,109.8,C Nathan MacKinnon C Erik Haula D Noah Dobson D Kaiden Guhle G Alex Lyon UTIL Zach Whitecloud W David Pastrnak W Matthew Tkachuk W Konsta Helenius,,Victor Olofsson,W,3.03%,1.5
