Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
83,5048201623,giantsquid (21/142),0,136.90001,C Nick Schmaltz C Elias Pettersson D Mikhail Sergachev D Jackson LaCombe G Philipp Grubauer UTIL Jake DeBrusk W Clayton Keller W Brock Boeser W Lawson Crouse,,Karel Vejmelka,G,3.87%,9.5
85,5048364492,bizzell88 (19/142),0,136.79999,C Sidney Crosby C Elias Pettersson D Filip Hronek D Marcus Pettersson G John Gibson UTIL Brock Boeser W Clayton Keller W Bryan Rust W Jake DeBrusk,,Mikael Granlund,C,3.70%,11.4
86,5047990115,OneDropKing (65/142),0,136.70001,C Dylan Strome C Elias Pettersson D John Carlson D Brandon Montour G Philipp Grubauer UTIL Jakob Chychrun W Jake DeBrusk W Brock Boeser W Evander Kane,,MacKenzie Weegar,D,3.68%,2.6
87,5048364712,sunsemparchi (3/4),0,136.4,C Nick Schmaltz C Ryan Poehling D Jacob Trouba D Sean Durzi G Lukas Dostal UTIL Nic Dowd W Dylan Guenther W Clayton Keller W Cutter Gauthier,,Lukas Dostal,G,3.60%,33.5
88,5048284952,Wiser320,0,136.2,C Dylan Larkin C John Tavares D Brent Burns D Samuel Girard G Joseph Woll UTIL Jared McCann W Clayton Keller W Ryan Leonard W Patrick Kane,,Justin Sourdif,C,3.55%,18
89,5048285279,Varncass (13/40),0,136.1,C Dylan Larkin C Matty Beniers D Moritz Seider D Morgan Rielly G Philipp Grubauer UTIL Elias Pettersson W Alex DeBrincat W Jared McCann W Victor Olofsson,,Matvei Gridin,W,3.53%,3
90,5048082241,ray.a.beau27 (4/5),0,135.8,C Dylan Larkin C Matty Beniers D Moritz Seider D Filip Hronek G Philipp Grubauer UTIL Elias Pettersson W Alex DeBrincat W Jared McCann W Ryan Strome,,Trevor Zegras,W,3.36%,13
90,5048428107,claythompson (3/4),0,135.8,C Auston Matthews C Dylan Strome D Morgan Rielly D Jamie Drysdale G Lukas Dostal UTIL Trevor Zegras W Alex Ovechkin W Anthony Duclair W Matvei Gridin,,Kevin Bahl,UTIL,3.32%,7.8
92,5047990179,OneDropKing (129/142),0,135.7,C Nick Schmaltz C Elias Pettersson D Mikhail Sergachev D Filip Hronek G Kevin Lankinen UTIL Jake DeBrusk W Clayton Keller W Cutter Gauthier W Evander Kane,,Mason McTavish,C,3.24%,0
93,5048413042,THE_PHANTOM_1 (67/142),0,135.50002,C Nathan MacKinnon C Christian Dvorak D Vince Dunn D Jamie Drysdale G Stuart Skinner UTIL Jake DeBrusk W Travis Konecny W Trevor Zegras W Bobby Brink,,Travis Konecny,W,3.22%,6.5
93,5048201744,giantsquid (142/142),0,135.5,C Nazem Kadri C Matty Beniers D Cale Makar D Vince Dunn G Philipp Grubauer UTIL Elias Pettersson W Jared McCann W Jake DeBrusk W Brock Boeser,,Nicholas Robertson,W,3.20%,4.3
95,5048012961,B_Heals152 (26/142),0,135.30002,C Nick Schmaltz C Elias Pettersson D Mikhail Sergachev D Tyler Myers G John Gibson UTIL Brock Boeser W Alex DeBrincat W Clayton Keller W Lawson Crouse,,Simon Holmstrom,W,3.15%,1.5
95,5048256381,jonjirvin (2/5),0,135.30002,C Nick Schmaltz C Elias Pettersson D Matthew Schaefer D Mikhail Sergachev G Lukas Dostal UTIL Lawson Crouse W Clayton Keller W Jake DeBrusk W Evander Kane,,Christian Dvorak,C,3.07%,37
95,5048201641,giantsquid (39/142),0,135.29999,C Nathan MacKinnon C Matty Beniers D Vince Dunn D Cam York G Philipp Grubauer UTIL Elias Pettersson W Jared McCann W Jordan Eberle W Brock Boeser,,Jack McBain,C,3.07%,2.8
95,5048381188,jteneyck1990 (6/20),0,135.29999,C Nathan MacKinnon C Matty Beniers D Vince Dunn D Filip Hronek G Philipp Grubauer UTIL Elias Pettersson W Jared McCann W Jordan Eberle W Brock Boeser,,Beckett Sennecke,W,3.07%,1.5
99,5048201732,giantsquid (130/142),0,134.8,C Nathan MacKinnon C Brock Nelson D Vince Dunn D Filip Hronek G Philipp Grubauer UTIL Matty Beniers W Jared McCann W Ross Colton W Lawson Crouse,,Jackson LaCombe,D,2.99%,2.8
100,5048466508,thg89 (2/2),0,134.59999,C Dylan Strome C John Tavares D John Carlson D Simon Edvinsson G Philipp Grubauer UTIL Matty Beniers W Lucas Raymond W Rickard Rakell W Bobby McMann,,Michael Carcone,W,2.94%,1.5
101,5048390983,luckyguesses (4/4),0,134.20001,C Dylan Larkin C Christian Dvorak D Moritz Seider D Adam Pelech G John Gibson UTIL Travis Konecny W Lucas Raymond W Trevor Zegras W Marco Kasper,,Egor Chinakhov,W,2.86%,12.8
101,5048201671,giantsquid (69/142),0,134.2,C Nathan MacKinnon C Matty Beniers D Vince Dunn D Brent Burns G Philipp Grubauer UTIL Filip Hronek W Artturi Lehkonen W Jared McCann W Jordan Eberle,,Parker Wotherspoon,D,2.86%,1.3
103,5048437203,mjp1997 (19/20),0,134.1,C Nick Schmaltz C Matty Beniers D Mikhail Sergachev D Zeev Buium G Stuart Skinner UTIL Jordan Eberle W Dylan Guenther W Clayton Keller W Jared McCann,,Cam York,D,2.82%,12.6
104,5048210081,BJLTNYK (8/142),0,134,C Nick Schmaltz C Justin Sourdif D Mikhail Sergachev D Josh Manson G Philipp Grubauer UTIL Aliaksei Protas W Clayton Keller W Tom Wilson W Lawson Crouse,,Emil Heineman,W,2.75%,1.5
105,5047990119,OneDropKing (69/142),0,133.90001,C Nick Schmaltz C Elias Pettersson D Mikhail Sergachev D Sean Durzi G Lukas Dostal UTIL Clayton Keller W Dylan Guenther W Lawson Crouse W Ryan Strome,,Kevin Lankinen,G,2.59%,15.8
106,5048364597,bizzell88 (124/142),0,133.80002,C Auston Matthews C Elias Pettersson D Mikhail Sergachev D Brett Kulak G Lukas Dostal UTIL Brock Boeser W Clayton Keller W Jake DeBrusk W Justin Brazeau,,Cutter Gauthier,UTIL,2.52%,18.3
106,5048256383,jonjirvin (4/5),0,133.8,C Christian Dvorak C Justin Sourdif D Jakob Chychrun D Tony DeAngelo G Lukas Dostal UTIL Tom Wilson W Travis Konecny W Trevor Zegras W Aliaksei Protas,,Jonathan Drouin,W,2.52%,5.6
108,5048123104,doughma12 (2/3),0,133.50002,C Nathan MacKinnon C Matty Beniers D Brandon Montour D Vince Dunn G Philipp Grubauer UTIL Elias Pettersson W Jared McCann W Brock Boeser W Victor Olofsson,,Ryan Strome,W,2.52%,4.3
